meta_critic,meta_actor,fpga_critic,fpga_actor,fog_gpu_critic,fog_gpu_actor,cloud_critic,cloud_actor,training_steps,episodes
1.3006248474121094,0.27194318175315857,,,,,,,0,1
1.109602928161621,0.43932661414146423,,,,,,,1,2
1.0860328674316406,0.42028260231018066,,,,,,,2,3
1.2758355140686035,0.2489182949066162,,,,,,,3,4
1.2178215980529785,0.17905038595199585,,,,,,,4,5
1.1287649869918823,0.3045661449432373,,,,,,,5,6
1.4156709909439087,0.2166091650724411,,,,,,,6,7
1.367889642715454,0.5635533332824707,,,,,,,7,8
1.2667162418365479,0.6181016564369202,,,,,,,8,9
1.0390377044677734,0.46000373363494873,,,,,,,9,10
1.2613422870635986,0.3014828860759735,,,,,,,10,11
1.3894933462142944,0.26506268978118896,,,,,,,11,12
1.2374979257583618,0.832516610622406,,,,,,,12,13
1.3125323057174683,0.2930217385292053,,,,,,,13,14
1.322540044784546,0.822386622428894,,,,,,,14,15
1.2203843593597412,0.045873671770095825,,,,,,,15,16
0.9810639023780823,0.4982799291610718,,,,,,,16,17
1.1815500259399414,0.3170914351940155,,,,,,,17,18
1.1719720363616943,0.14165499806404114,,,,,,,18,19
1.279974102973938,0.3184339106082916,,,,,,,19,20
1.253973364830017,0.37765681743621826,,,,,,,20,21
1.2263548374176025,0.350919246673584,,,,,,,21,22
1.5526516437530518,0.2884811460971832,,,,,,,22,23
1.057626485824585,0.2420254498720169,,,,,,,23,24
1.324730396270752,0.37642791867256165,,,,,,,24,25
1.218907117843628,0.3520670235157013,,,,,,,25,26
1.331238031387329,0.44551554322242737,,,,,,,26,27
1.2797116041183472,0.2862623631954193,,,,,,,27,28
1.326488733291626,0.29789263010025024,,,,,,,28,29
1.2380867004394531,0.290805459022522,,,,,,,29,30
1.1815440654754639,0.44786885380744934,,,,,,,30,31
1.245847463607788,0.5924234390258789,,,,,,,31,32
1.1954877376556396,0.35760408639907837,,,,,,,32,33
1.216444730758667,0.2715081572532654,,,,,,,33,34
1.1999218463897705,0.14003966748714447,,,,,,,34,35
1.3468925952911377,0.31665802001953125,,,,,,,35,36
1.2169702053070068,0.2414858043193817,,,,,,,36,37
1.3310388326644897,0.6112099885940552,,,,,,,37,38
1.255915641784668,0.4519955813884735,,,,,,,38,39
1.205214500427246,0.31051233410835266,,,,,,,39,40
1.3755149841308594,0.3318236172199249,,,,,,,40,41
1.3830475807189941,0.21596521139144897,,,,,,,41,42
1.3589696884155273,0.42447447776794434,,,,,,,42,43
1.3313841819763184,0.267869234085083,,,,,,,43,44
0.9833034873008728,0.31510642170906067,,,,,,,44,45
1.06629478931427,0.47647911310195923,,,,,,,45,46
1.0889947414398193,0.33245211839675903,,,,,,,46,47
1.3113658428192139,0.6278294324874878,,,,,,,47,48
1.1577932834625244,0.4785131812095642,,,,,,,48,49
1.1866267919540405,0.09421084821224213,,,,,,,49,50
1.0914394855499268,0.38286226987838745,,,,,,,50,51
1.2784703969955444,0.3957957625389099,,,,,,,51,52
