episode,reward,makespan,load_balance,stability
1,1113.0205475885657,2.0650133673480062,1.0,1.0
2,1036.2537471859464,3.219194752283447,1.0,1.0
3,991.1917970125023,2.1825006510837572,1.0,1.0
4,1009.3316980183446,2.841092564149079,1.0,1.0
5,994.6993726969749,2.065911966613586,1.0,0.8184850338831288
6,1070.1830013403528,1.8191806675063293,1.0,0.8035375153939127
7,1284.044370709977,1.9493859683583594,1.0,0.8125000357093257
8,880.527854370016,2.376195527878307,1.0,0.8316275602862515
9,697.9820056705798,2.5211733922602453,1.0,0.8356078776256828
10,1152.6333159483497,2.0477976385831975,1.0,0.9101959902860918
11,620.2897995948551,4.124888022473108,1.0,0.8932364769824301
12,1106.4689188880425,2.684037864728984,1.0,0.9087228272559768
13,1136.159128455195,3.1018933071767836,1.0,0.8577836577750095
14,1349.592868022305,2.4150364387573715,1.0,0.8939319977617618
15,1334.1455661222913,1.9482905976375058,1.0,0.8938178025335337
16,962.2519428896316,2.234007757739572,1.0,0.8893900716869568
17,1711.7397136363236,1.525692356437621,1.0,0.8225277590517668
18,689.7973160152069,2.3671318599024938,1.0,0.8302124730555122
19,1122.9890983673126,1.7400691524145402,1.0,0.8137548427580609
20,1264.2947832205493,2.2718033616078603,1.0,0.8313000775272574
21,1208.0691797113752,1.8936730729098974,1.0,0.9171560412151082
22,1063.5303500380733,1.6792474063390632,1.0,0.9239626536046784
23,919.892443886215,5.070779730043258,1.0,0.8925612756265333
24,1227.4057070720128,2.6408903442838385,1.0,0.8628356760607543
25,965.5803993266196,2.3282955111084775,1.0,0.8948423123316629
26,1093.2898636325087,1.2108236246454362,1.0,0.8259379746082515
27,977.3547814562689,2.4041088775027517,1.0,0.8269163262388635
28,1213.4336690164635,1.9777506890820105,1.0,0.8279700191810724
29,1142.3212085522684,2.318064770836973,1.0,0.8284153385360734
30,1534.8585865327746,1.9537295382909048,1.0,0.8447021184126646
31,1024.7691887104488,3.238402454281489,1.0,0.821965003143478
32,1107.5558749417507,4.017264013236286,1.0,0.7958663373440334
33,1196.7899259698884,3.020725248455595,1.0,0.7553324924031786
34,1197.2600346789197,2.0112701786524796,1.0,0.8544205053458311
35,826.8389446426469,2.371488165162564,1.0,0.8541914076524814
36,1303.114198367753,2.9150029479940045,1.0,0.860469269986489
37,824.3168696532612,3.452094918524096,1.0,0.8067794262520516
38,1325.182813355107,2.131169670071454,1.0,0.8260488072971929
39,923.1389521114204,3.603770485725468,1.0,0.7690799007334542
40,1038.4257280658398,2.6341625888485183,1.0,0.7688387552456566
41,1134.0221982057737,1.1640706972540729,1.0,0.7285120635014973
42,862.1341906449032,3.6635237314594953,1.0,0.7050613437368936
43,756.0197725546255,2.033275028751026,1.0,0.680453789858015
44,1201.4804917757228,2.6173728835748613,1.0,0.680348125814093
45,930.7729262957745,3.3813302051509804,1.0,0.6858832218071536
46,1285.1772773889636,2.2588635155213823,1.0,0.6943172056572114
47,1242.8302402132317,2.4334170282400396,1.0,0.7448524342350601
48,1049.966278036712,2.150049182390024,1.0,0.7323669237227163
49,1021.6743064805315,3.4184741839743986,1.0,0.7331117647690092
50,1332.2261673544067,2.1043790418701684,1.0,0.7863342306559251
51,1478.4544370505678,1.8835412824816875,1.0,0.7730929199498021
52,1406.170235502492,3.669295144565832,1.0,0.6957651184667649
53,1483.9099938466381,3.931267201395663,1.0,0.6372738891105869
54,1614.548264666682,3.0177186602917807,1.0,0.6482698421262424
55,1523.9506663303273,1.0971866652703626,1.0,0.5350428780706301
56,1160.3984607013483,2.92770103764273,1.0,0.5446005218087789
57,1661.3509746678576,2.1244906288244745,1.0,0.5539857377006628
58,1111.891950741351,3.3346653080528315,1.0,0.5494747075906847
59,1127.9081655330428,2.274095674033868,1.0,0.5707189429846243
60,1172.7769319995305,2.360650067954893,1.0,0.6045502161779187
61,1250.786952690394,2.3202026892456913,1.0,0.7065638331842915
62,1626.0923756449256,1.5796824231415088,1.0,0.6988399028225188
63,936.4776903646011,2.460387344367162,1.0,0.8061124524657369
64,1048.4863684634556,2.48485006336301,1.0,0.8291421816023151
65,1278.8507799379126,3.374915957341257,1.0,0.8154768797780685
66,1379.3461180634479,3.356768814310479,1.0,0.8122621060875415
67,1369.4508752488555,1.8083602307997573,1.0,0.7827638333183515
68,1722.8354307805837,1.6354656614129077,1.0,0.7439939457945886
69,1052.5440833307553,3.4627175151688165,1.0,0.6725200381838392
70,1392.5039827704534,2.6164836445402546,1.0,0.7269416069822099
71,1446.8891817096085,2.0915557797622597,1.0,0.7129243216332515
72,1452.6808763161291,1.8063991797115382,1.0,0.6833252325128324
73,1350.2326626956938,2.967037685777336,1.0,0.6803807144142245
74,1188.9930389703268,2.535543195970434,1.0,0.7347109854770172
75,1799.8445247960642,2.3704152334761988,1.0,0.7590976933301613
76,1093.5324377916627,1.6251616429046376,1.0,0.7579050319312238
77,1902.182781422177,1.397712079823982,1.0,0.7968345775793302
78,1073.4764076456681,2.9235847985823527,1.0,0.769777308756346
79,1761.8241898281117,2.6293580755530774,1.0,0.7609434700753548
80,1334.12749252504,3.056812084831967,1.0,0.7482084865802032
81,1202.060965488039,2.758952154870922,1.0,0.7611792156785476
82,1374.4005034554812,2.1985285587238903,1.0,0.7600048994614355
83,1430.3292306930819,3.050084837652107,1.0,0.7318681838593346
84,1642.3874631726792,2.082197420353471,1.0,0.7725626079155221
85,1484.7887557213182,1.7403881772639385,1.0,0.8252432577404148
86,1534.4812098097761,1.7828174494812015,1.0,0.800654382498127
87,1670.8568279240426,3.290121866432945,1.0,0.7504278054869286
88,1264.683827935887,1.874930274267297,1.0,0.7579486262273796
89,1305.7600278439613,3.666953009191714,1.0,0.6653437673902133
90,1464.8041650877349,2.0872955276847933,1.0,0.661538547013596
91,1529.8887935595926,3.9343509510908143,1.0,0.5778655723925722
92,1658.1171780235122,1.9584898656167382,1.0,0.572450451500014
93,1133.3483130262994,4.009082125313626,1.0,0.5390197819940022
94,1268.4849940449758,2.566940482993192,1.0,0.5820485545003761
95,1499.385823459795,1.9866716122809152,1.0,0.5604016957751963
96,1612.0232274242078,2.2091149008765862,1.0,0.5804990128695247
97,1713.6715877928568,2.545962853681935,1.0,0.6181237234483651
98,1148.2882070984103,2.00756347188208,1.0,0.6135139602461142
99,1349.0332197174935,1.8238660714619663,1.0,0.6941190843429063
100,1424.5326080439577,2.2078177857798376,1.0,0.7038916296791221
101,1846.887532807255,2.5485906991158025,1.0,0.93142155656876
102,1566.2854251073027,1.8444928070084128,1.0,0.9335894716239447
103,1336.9946855807025,3.963674231263745,1.0,0.9173331694614717
104,1195.2637205198685,3.564110696425617,1.0,0.8794283289677849
105,1455.7591404714722,2.555594571461977,1.0,0.87898305642713
106,1196.014635503038,2.1586849779090733,1.0,0.8859997330396104
107,1630.5217958963951,3.139909286598675,1.0,0.8686330660129628
108,2032.2874378997242,1.6663079795818836,1.0,0.8551674849730104
109,2134.924420178054,2.2735920593059884,1.0,0.8530127861120884
110,1852.5816160277939,1.6891189927650923,1.0,0.834748434411616
111,1366.196046730863,2.9943997552292543,1.0,0.81164009898744
112,1479.2805853609862,3.3126686200284152,1.0,0.7709199711322794
113,1701.0182601015365,1.8365672121862004,1.0,0.7425062849069851
114,1925.2341185546015,2.3638332415401,1.0,0.7475979112103543
115,2312.397131729304,2.0991749666070105,1.0,0.7828749920340083
116,1665.2854144874564,2.760796964877606,1.0,0.7808745771975288
117,1429.6559940763927,1.7848708035194576,1.0,0.7551890455661812
118,1525.771034030241,3.2698417077165076,1.0,0.7800227784728345
119,1895.7755031543552,2.268693591366706,1.0,0.7994268401022141
120,1659.6125936561134,3.174064492188371,1.0,0.818410327624184
121,1806.2416342237916,2.1197894872102325,1.0,0.8396671827846146
122,2222.6620158034084,1.778437485166134,1.0,0.8074181732536255
123,1502.7709056534723,3.560503740158898,1.0,0.7262423087468888
124,1702.6984280698214,2.508978434036647,1.0,0.7298590125389076
125,1586.3769353597645,2.6172047385530472,1.0,0.7722879635315836
126,1685.8039645122653,2.066702279062545,1.0,0.7620355823892427
127,1293.4830539913921,2.0265535650816355,1.0,0.7499603727902342
128,2031.6666578585434,2.141878652375448,1.0,0.7866418880680299
129,1548.025837005713,2.8236769357073803,1.0,0.7785338995869492
130,2099.159327436325,2.534517841786033,1.0,0.8184317212095197
131,1983.2058891757097,2.6883658056295214,1.0,0.924686503463474
132,1762.6709758256834,2.6871484776650725,1.0,0.9185972148850164
133,1581.4162271873297,2.9387702031549026,1.0,0.8980624773651011
134,1894.5030871178512,2.663140799944641,1.0,0.9178266875603156
135,1774.2287844778443,1.4115376881278927,1.0,0.9498698806802192
136,1933.5433768980276,2.484721502879067,1.0,0.975508371828017
137,1242.4722827143398,2.9353106515365766,1.0,0.9698324541567267
138,2014.4932132736099,2.241413465915658,1.0,0.9518912983847572
139,1849.2010260416284,2.778555616958551,1.0,0.9499959193357782
140,1913.5647660870582,2.971097736198754,1.0,0.9395265719992238
141,1772.7456526645624,2.735319764974042,1.0,0.9471361422064972
142,1477.7267729779653,2.445333690002808,1.0,0.942840038856186
143,2083.3206024310025,2.5079816214216826,1.0,0.9452496367711904
144,2145.630454210268,2.1499989779087154,1.0,0.9233971048895872
145,1745.576035935216,1.3784308031405128,1.0,0.9105225370412393
146,1654.3828773803853,2.409845040679524,1.0,0.916305184553902
147,1474.1414193312544,2.5202772516278418,1.0,0.9253276508862552
148,1499.8198457899382,3.0983291020595174,1.0,0.9463600791279848
149,2314.317162379775,1.4157160829493423,1.0,0.9285865863210381
150,1934.4654435102018,3.1270252505744125,1.0,0.8711903024510804
151,1884.4796653979229,3.421718321167823,1.0,0.7930268521588889
152,1942.8344025507151,2.10279995851412,1.0,0.7900892113052475
153,1463.351797407564,2.5112731954405487,1.0,0.8137664835101439
154,1920.4992803288226,2.027345653702292,1.0,0.7927187058874225
155,1794.6716836460755,2.743861923154339,1.0,0.7898418668340608
156,1727.5592845990568,3.37614922318825,1.0,0.7470462783891799
157,2138.03169867931,2.2549782488527716,1.0,0.7839331593657842
158,1734.5817778266248,2.5578941537845408,1.0,0.8002122087436693
159,2042.573801428096,1.651434618057784,1.0,0.8067022124418252
160,1992.2092197186796,2.539395857472795,1.0,0.814549021617997
161,2731.0032203402543,2.773311455872561,1.0,0.8073065237562077
162,2089.282059785741,3.2197388225509584,1.0,0.7961041415831354
163,1893.0508401342247,2.950411215829434,1.0,0.789785029202243
164,2002.8120895473958,2.541882404687764,1.0,0.83748110571545
165,2433.3452234040165,2.026933399352055,1.0,0.8391777197891667
166,2498.1986837988143,2.532573189442647,1.0,0.8390954664542392
167,1926.6859088555207,2.7461112293475005,1.0,0.9314427779643042
168,1466.6954106134358,1.689647802570112,1.0,0.9059861326299072
169,1999.7787274439024,2.137824022345641,1.0,0.8859708880060773
170,1918.5420196400119,1.6684333553541129,1.0,0.9053073451706669
171,1948.2983366928804,2.898581611603517,1.0,0.9108499770420423
172,2509.7279221130398,1.4689028785729072,1.0,0.8428777718295739
173,1973.7017513781332,2.124405453616824,1.0,0.8413713025308458
174,2468.5782991136252,2.32224627975771,1.0,0.8486030727342826
175,2389.2212622354978,1.9139909760535765,1.0,0.8733359409523027
176,2081.1400928279104,3.6290941748366814,1.0,0.8005312941784394
177,2183.8991117056908,3.0450579942716454,1.0,0.7589386768418456
178,2133.299825522967,2.262170814095913,1.0,0.7735822335288315
179,2055.9241129765323,2.1050640665328624,1.0,0.7931787785627634
180,1832.095976134688,3.1759002785355075,1.0,0.8139868118522174
181,1656.1602804150116,2.231934265972133,1.0,0.8199644738696947
182,2153.203635334061,1.4178604979020855,1.0,0.7389370938710553
183,1509.9130523803074,2.648669718639109,1.0,0.7563457853190781
184,2134.1467450710497,2.2302537942745135,1.0,0.7837960604968816
185,2367.2886306423775,1.7974716157376849,1.0,0.8053796700976393
186,2158.7762654889225,2.1470217469068564,1.0,0.804971462874329
187,2029.6875776882875,1.6182809344828915,1.0,0.7799728259157549
188,2124.751929349648,1.1928050572640305,1.0,0.827956219681478
189,2239.546316563188,1.1955653691171357,1.0,0.8051547832921243
190,2343.2347918355945,1.8559683887869745,1.0,0.8175158337679175
191,2284.059794451713,1.5121850521361826,1.0,0.8822076632210883
192,1919.5094546953005,1.4446080197955329,1.0,0.9127051990252896
193,1702.8295647892128,2.0832917953755703,1.0,0.8936455080261405
194,2184.2463241346845,1.5920555111987869,1.0,0.9249544149143301
195,1819.2983251187056,2.561393978819172,1.0,0.8906960474281196
196,1715.0182382371909,2.43892042461999,1.0,0.8650829463874761
197,2054.4836533108432,2.226623584894324,1.0,0.8930394912834875
198,2362.9449175260843,1.5299911898359908,1.0,0.8800650208977988
