episode,reward,makespan,load_balance,stability,td_error,meta_critic_loss,meta_actor_loss,fpga_critic_loss,fpga_actor_loss,fog_gpu_critic_loss,fog_gpu_actor_loss,cloud_critic_loss,cloud_actor_loss
1,1424.8200949352085,1.9375263512240664,1.9459360106436514,1.0,0.4255083203315735,1.0372838973999023,0.9048920273780823,0,0,0,0,0,0
2,1144.0924724223958,1.3678386039354655,1.9510650570032375,1.0,0.3716607640186945,0.8959645628929138,0.9625203609466553,0,0,0,0,0,0
3,1057.4695460000219,1.603236655701241,1.933771915649114,1.0,0.39660224318504333,0.9804766774177551,0.5541974306106567,0,0,0,0,0,0
4,938.6716882236101,1.450986080092059,1.9377359780836232,1.0,0.3953929543495178,0.9407376050949097,0.6974057555198669,0,0,0,0,0,0
5,1276.1011028271241,1.780389389557265,1.9482060149594782,1.0,0.41291964550813043,0.9941521286964417,1.0151786804199219,0,0,0,0,0,0
6,1252.7996651364733,1.8372453082210243,1.9365159680051285,1.0,0.3919389570752779,0.9765641689300537,0.991724967956543,0,0,0,0,0,0
7,1257.6189972115176,1.4659524723059314,1.9406035719210037,1.0,0.3979169577360153,0.9812745451927185,0.7281595468521118,0,0,0,0,0,0
8,1044.947521503819,1.6324041886234248,1.9202486058946269,1.0,0.41108890871206916,1.0125977993011475,0.697171688079834,0,0,0,0,0,0
9,1180.9921996465475,1.9975659338287022,1.9088652498619814,0.9861533562665394,0.3821540201703707,0.912070631980896,0.7350150942802429,0,0,0,0,0,0
10,1142.7204353319084,1.5941987356484066,1.930765676738475,0.9915035387305662,0.39354708294073737,0.9825513362884521,0.6468874216079712,0,0,0,0,0,0
11,1080.7687162314246,1.70715225521684,1.926759223680787,0.9961740844012128,0.42106266071399057,1.059227466583252,0.9145785570144653,0,0,0,0,0,0
12,1302.547974359453,1.5859310137489973,1.932652386406977,0.9945388647377206,0.41490282118320465,1.015590786933899,0.9117688536643982,0,0,0,0,0,0
13,1087.1526355150434,1.5500081024743424,1.9267141549471982,0.9919148364950175,0.3888360857963562,0.9566206336021423,0.8390222787857056,0,0,0,0,0,0
14,1203.9397885763287,1.8439520388077395,1.937416827011368,0.9899952905463885,0.3903699219226837,0.9251735806465149,0.9980074167251587,0,0,0,0,0,0
15,1110.8023690859545,1.6430740544116085,1.9244564423119193,0.9899643014794225,0.3705452879269918,0.8931905627250671,0.8120673894882202,0,0,0,0,0,0
16,1348.4636351135007,2.387069568771631,1.9379884667673024,0.9779747432488133,0.41381317377090454,0.9801528453826904,0.7532055377960205,0,0,0,0,0,0
17,1139.0999387351687,1.9051695812447043,1.9283879048843349,0.973115432925868,0.39672649900118506,0.9619317054748535,0.8046882152557373,0,0,0,0,0,0
18,1235.322617665539,2.0250449302033795,1.9165701383926566,0.9630303790472886,0.3946724832057953,0.9496442079544067,0.9695364236831665,0,0,0,0,0,0
19,1076.8532180272505,1.8620467005548305,1.928032613456529,0.9587423483807717,0.39731721580028534,0.960532546043396,1.0353994369506836,0,0,0,0,0,0
20,1143.6955869888618,1.5198093008018372,1.9365902069128318,0.9629184086908442,0.401262159148852,0.9623385071754456,0.7470664978027344,0,0,0,0,0,0
21,1213.4144625884894,1.7392472278322462,1.9363359540516247,0.9672140614988515,0.4025672276814779,0.9607536196708679,0.7191198468208313,0,0,0,0,0,0
22,1195.20169071818,1.5901266741775237,1.928332585908642,0.9601062899372509,0.3916243314743042,0.9932790994644165,0.7728292346000671,0,0,0,0,0,0
23,1201.451528663271,1.6046926171526548,1.9254253956993619,0.9519195174014526,0.3971451073884964,0.9715278744697571,0.6413908004760742,0,0,0,0,0,0
24,1316.0287892233398,1.798898470661003,1.9234725139718445,0.9562760486165022,0.3715124030907949,0.8728759288787842,0.9004507064819336,0,0,0,0,0,0
25,1218.129203573094,1.457563769342899,1.9223219905182949,0.9720769930417306,0.36898860832055413,0.8870117664337158,0.8647773861885071,0,0,0,0,0,0
