
================================================================================
Enhanced HD-DDPG Medical Workflow Scheduling Training Log
Training Start Time: 2025-09-10 14:02:28
Experiment Directory: optimized_model_result\hd_ddpg_enhanced_comm05
Training Mode: HIGH_PERFORMANCE_ENHANCED with Advanced Features
================================================================================
[2025-09-10 14:02:56] Ep   42 | R:   862.13 | MS:   3.66 | SR: 0.00 | ST: 0.705 | LR: 0.000170 | T: 0.73s
[2025-09-10 14:02:57] Ep   43 | R:   756.02 | MS:   2.03 | SR: 0.25 | ST: 0.680 | LR: 0.000170 | T: 0.62s
[2025-09-10 14:02:58] Ep   44 | R:  1201.48 | MS:   2.62 | SR: 0.00 | ST: 0.680 | LR: 0.000170 | T: 0.73s
[2025-09-10 14:02:58] Ep   45 | R:   930.77 | MS:   3.38 | SR: 0.50 | ST: 0.686 | LR: 0.000170 | T: 0.65s
[2025-09-10 14:02:59] Ep   46 | R:  1285.18 | MS:   2.26 | SR: 0.25 | ST: 0.694 | LR: 0.000170 | T: 0.69s
[2025-09-10 14:03:00] Ep   47 | R:  1242.83 | MS:   2.43 | SR: 0.50 | ST: 0.745 | LR: 0.000170 | T: 0.70s
[2025-09-10 14:03:00] Ep   48 | R:  1049.97 | MS:   2.15 | SR: 0.50 | ST: 0.732 | LR: 0.000170 | T: 0.63s
[2025-09-10 14:03:01] Ep   49 | R:  1021.67 | MS:   3.42 | SR: 0.50 | ST: 0.733 | LR: 0.000170 | T: 0.72s
[2025-09-10 14:03:01] CURRICULUM Ep   50 | Phase: 1 | Workflows: 5 | Tasks: 5-9 | Level: easy
[2025-09-10 14:03:02] LR_UPDATE Ep   50 | Old: 0.000170 | New: 0.000167 | Change: -2.00%
[2025-09-10 14:03:02] Ep   50 | R:  1332.23 | MS:   2.10 | SR: 0.00 | ST: 0.786 | LR: 0.000167 | T: 0.73s
[2025-09-10 14:03:02] === Evaluation Episode 50 ===
[2025-09-10 14:03:02] Ep   51 | R:  1478.45 | MS:   1.88 | SR: 0.40 | ST: 0.773 | LR: 0.000167 | T: 0.77s
[2025-09-10 14:03:03] Ep   52 | R:  1406.17 | MS:   3.67 | SR: 0.00 | ST: 0.696 | LR: 0.000167 | T: 0.91s
[2025-09-10 14:03:04] Ep   53 | R:  1483.91 | MS:   3.93 | SR: 0.20 | ST: 0.637 | LR: 0.000167 | T: 0.80s
[2025-09-10 14:03:05] Ep   54 | R:  1614.55 | MS:   3.02 | SR: 0.00 | ST: 0.648 | LR: 0.000167 | T: 0.81s
[2025-09-10 14:03:06] Ep   55 | R:  1523.95 | MS:   1.10 | SR: 0.80 | ST: 0.535 | LR: 0.000167 | T: 0.71s
[2025-09-10 14:03:06] Ep   56 | R:  1160.40 | MS:   2.93 | SR: 0.00 | ST: 0.545 | LR: 0.000167 | T: 0.76s
[2025-09-10 14:03:07] Ep   57 | R:  1661.35 | MS:   2.12 | SR: 0.20 | ST: 0.554 | LR: 0.000167 | T: 0.79s
[2025-09-10 14:03:08] Ep   58 | R:  1111.89 | MS:   3.33 | SR: 0.20 | ST: 0.549 | LR: 0.000167 | T: 0.75s
[2025-09-10 14:03:09] Ep   59 | R:  1127.91 | MS:   2.27 | SR: 0.20 | ST: 0.571 | LR: 0.000167 | T: 0.70s
[2025-09-10 14:03:09] Ep   60 | R:  1172.78 | MS:   2.36 | SR: 0.20 | ST: 0.605 | LR: 0.000167 | T: 0.70s
[2025-09-10 14:03:10] Ep   61 | R:  1250.79 | MS:   2.32 | SR: 0.40 | ST: 0.707 | LR: 0.000167 | T: 0.74s
[2025-09-10 14:03:11] Ep   62 | R:  1626.09 | MS:   1.58 | SR: 0.60 | ST: 0.699 | LR: 0.000167 | T: 0.73s
[2025-09-10 14:03:11] Ep   63 | R:   936.48 | MS:   2.46 | SR: 0.20 | ST: 0.806 | LR: 0.000167 | T: 0.67s
[2025-09-10 14:03:12] Ep   64 | R:  1048.49 | MS:   2.48 | SR: 0.40 | ST: 0.829 | LR: 0.000167 | T: 0.69s
[2025-09-10 14:03:13] Ep   65 | R:  1278.85 | MS:   3.37 | SR: 0.00 | ST: 0.815 | LR: 0.000167 | T: 0.81s
[2025-09-10 14:03:14] Ep   66 | R:  1379.35 | MS:   3.36 | SR: 0.40 | ST: 0.812 | LR: 0.000167 | T: 0.81s
[2025-09-10 14:03:15] Ep   67 | R:  1369.45 | MS:   1.81 | SR: 0.40 | ST: 0.783 | LR: 0.000167 | T: 0.73s
[2025-09-10 14:03:15] Ep   68 | R:  1722.84 | MS:   1.64 | SR: 0.60 | ST: 0.744 | LR: 0.000167 | T: 0.76s
[2025-09-10 14:03:16] Ep   69 | R:  1052.54 | MS:   3.46 | SR: 0.00 | ST: 0.673 | LR: 0.000167 | T: 0.85s
[2025-09-10 14:03:17] Ep   70 | R:  1392.50 | MS:   2.62 | SR: 0.40 | ST: 0.727 | LR: 0.000167 | T: 0.82s
[2025-09-10 14:03:18] Ep   71 | R:  1446.89 | MS:   2.09 | SR: 0.20 | ST: 0.713 | LR: 0.000167 | T: 0.72s
[2025-09-10 14:03:18] Ep   72 | R:  1452.68 | MS:   1.81 | SR: 0.20 | ST: 0.683 | LR: 0.000167 | T: 0.76s
[2025-09-10 14:03:19] Ep   73 | R:  1350.23 | MS:   2.97 | SR: 0.20 | ST: 0.680 | LR: 0.000167 | T: 0.78s
[2025-09-10 14:03:20] Ep   74 | R:  1188.99 | MS:   2.54 | SR: 0.40 | ST: 0.735 | LR: 0.000167 | T: 0.75s
[2025-09-10 14:03:21] Ep   75 | R:  1799.84 | MS:   2.37 | SR: 0.20 | ST: 0.759 | LR: 0.000167 | T: 0.86s
[2025-09-10 14:03:21] Ep   76 | R:  1093.53 | MS:   1.63 | SR: 0.60 | ST: 0.758 | LR: 0.000167 | T: 0.63s
[2025-09-10 14:03:22] Ep   77 | R:  1902.18 | MS:   1.40 | SR: 0.80 | ST: 0.797 | LR: 0.000167 | T: 0.78s
[2025-09-10 14:03:23] Ep   78 | R:  1073.48 | MS:   2.92 | SR: 0.20 | ST: 0.770 | LR: 0.000167 | T: 0.69s
[2025-09-10 14:03:24] Ep   79 | R:  1761.82 | MS:   2.63 | SR: 0.00 | ST: 0.761 | LR: 0.000167 | T: 0.85s
[2025-09-10 14:03:25] LR_UPDATE Ep   80 | Old: 0.000167 | New: 0.000166 | Change: -0.50%
[2025-09-10 14:03:25] Ep   80 | R:  1334.13 | MS:   3.06 | SR: 0.40 | ST: 0.748 | LR: 0.000166 | T: 0.79s
[2025-09-10 14:03:25] Ep   81 | R:  1202.06 | MS:   2.76 | SR: 0.20 | ST: 0.761 | LR: 0.000166 | T: 0.75s
[2025-09-10 14:03:26] Ep   82 | R:  1374.40 | MS:   2.20 | SR: 0.40 | ST: 0.760 | LR: 0.000166 | T: 0.78s
[2025-09-10 14:03:27] Ep   83 | R:  1430.33 | MS:   3.05 | SR: 0.20 | ST: 0.732 | LR: 0.000166 | T: 0.79s
