[2025-07-25 23:28:44] Episode   44 | Reward:   289.98 | Makespan:   2.45 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.69s
[2025-07-25 23:28:45] Episode   45 | Reward:   235.71 | Makespan:   2.33 | LoadBalance: 0.925 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:45] Episode   46 | Reward:   220.81 | Makespan:   1.91 | LoadBalance: 0.915 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:28:46] Episode   47 | Reward:   288.33 | Makespan:   2.46 | LoadBalance: 0.950 | Success: 1.00 | Duration: 0.66s
[2025-07-25 23:28:47] Episode   48 | Reward:   283.01 | Makespan:   2.23 | LoadBalance: 0.912 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:47] Episode   49 | Reward:   326.71 | Makespan:   2.15 | LoadBalance: 0.956 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:28:48] Episode   50 | Reward:   306.98 | Makespan:   2.05 | LoadBalance: 0.935 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:28:49] Episode   51 | Reward:   338.81 | Makespan:   1.99 | LoadBalance: 0.965 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:49] Episode   52 | Reward:   282.67 | Makespan:   1.61 | LoadBalance: 0.973 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:28:50] Episode   53 | Reward:   242.67 | Makespan:   1.77 | LoadBalance: 0.910 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:50] Episode   54 | Reward:   357.39 | Makespan:   1.96 | LoadBalance: 1.013 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:28:51] Episode   55 | Reward:   239.51 | Makespan:   2.22 | LoadBalance: 0.905 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:28:52] Episode   56 | Reward:   225.46 | Makespan:   2.45 | LoadBalance: 0.923 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:28:52] Episode   57 | Reward:   351.12 | Makespan:   1.91 | LoadBalance: 0.975 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:28:53] Episode   58 | Reward:   355.95 | Makespan:   1.93 | LoadBalance: 0.979 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:28:53] Episode   59 | Reward:   243.31 | Makespan:   1.99 | LoadBalance: 0.927 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:28:54] Episode   60 | Reward:   348.03 | Makespan:   2.09 | LoadBalance: 0.949 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:28:55] Episode   61 | Reward:   331.69 | Makespan:   2.12 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:55] Episode   62 | Reward:   344.38 | Makespan:   1.95 | LoadBalance: 0.951 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:28:56] Episode   63 | Reward:   250.41 | Makespan:   2.24 | LoadBalance: 0.933 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:56] Episode   64 | Reward:   277.73 | Makespan:   2.07 | LoadBalance: 0.947 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:57] Episode   65 | Reward:   265.93 | Makespan:   2.27 | LoadBalance: 0.934 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:58] Episode   66 | Reward:   249.95 | Makespan:   1.94 | LoadBalance: 0.946 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:28:58] Episode   67 | Reward:   310.94 | Makespan:   2.04 | LoadBalance: 0.943 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:59] Episode   68 | Reward:   237.96 | Makespan:   2.21 | LoadBalance: 0.939 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:28:59] Episode   69 | Reward:   264.85 | Makespan:   2.28 | LoadBalance: 0.938 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:00] Episode   70 | Reward:   273.93 | Makespan:   2.08 | LoadBalance: 0.910 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:01] Episode   71 | Reward:   292.25 | Makespan:   1.73 | LoadBalance: 0.946 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:01] Episode   72 | Reward:   230.19 | Makespan:   1.85 | LoadBalance: 0.924 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:02] Episode   73 | Reward:   283.90 | Makespan:   2.02 | LoadBalance: 0.964 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:02] Episode   74 | Reward:   281.42 | Makespan:   2.24 | LoadBalance: 0.915 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:03] Episode   75 | Reward:   262.65 | Makespan:   2.14 | LoadBalance: 0.967 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:03] Episode   76 | Reward:   284.59 | Makespan:   2.18 | LoadBalance: 0.959 | Success: 1.00 | Duration: 0.56s
[2025-07-25 23:29:04] Episode   77 | Reward:   370.90 | Makespan:   2.56 | LoadBalance: 0.919 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:05] Episode   78 | Reward:   335.43 | Makespan:   2.31 | LoadBalance: 0.962 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:29:05] Episode   79 | Reward:   308.12 | Makespan:   1.94 | LoadBalance: 0.946 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:06] Episode   80 | Reward:   249.60 | Makespan:   2.02 | LoadBalance: 0.945 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:06] Episode   81 | Reward:   332.31 | Makespan:   2.00 | LoadBalance: 0.971 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:07] Episode   82 | Reward:   196.09 | Makespan:   1.92 | LoadBalance: 0.904 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:08] Episode   83 | Reward:   279.21 | Makespan:   2.17 | LoadBalance: 0.936 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:29:08] Episode   84 | Reward:   363.83 | Makespan:   2.45 | LoadBalance: 0.965 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:09] Episode   85 | Reward:   263.84 | Makespan:   1.96 | LoadBalance: 0.930 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:29:09] Episode   86 | Reward:   294.61 | Makespan:   2.17 | LoadBalance: 0.946 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:10] Episode   87 | Reward:   242.72 | Makespan:   2.16 | LoadBalance: 0.931 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:29:11] Episode   88 | Reward:   223.74 | Makespan:   2.19 | LoadBalance: 0.909 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:29:11] Episode   89 | Reward:   316.91 | Makespan:   2.51 | LoadBalance: 0.969 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:12] Episode   90 | Reward:   315.19 | Makespan:   1.82 | LoadBalance: 0.943 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:29:12] Episode   91 | Reward:   164.88 | Makespan:   2.11 | LoadBalance: 0.910 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:29:13] Episode   92 | Reward:   254.74 | Makespan:   2.09 | LoadBalance: 0.902 | Success: 1.00 | Duration: 0.61s
