episode,reward,makespan,load_balance
1,370.8289963537407,2.3934499046429383,0.5799822129041313
2,310.3814240404442,1.843442129764928,0.4854736998311788
3,349.2568470404019,2.2225527883236147,0.5497100678193744
4,258.72898830099695,1.6363604542029246,0.47637947795401436
5,352.13458773763705,2.1224382616413324,0.4629992370795809
6,317.2077085139115,2.1552880338136697,0.49536250837007884
7,317.5700420221304,2.69086084222362,0.4889721040998255
8,284.91585254935615,1.7196937381618533,0.4983144748831654
9,259.2948381947813,2.101601683784166,0.5020978946961696
10,260.286160947128,2.341560031087782,0.4879186685487463
