[2025-07-25 19:23:34] Episode   44 | Reward:   166.10 | Makespan:   1.25 | LoadBalance: 1.005 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:35] Episode   45 | Reward:   208.42 | Makespan:   1.23 | LoadBalance: 1.053 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:35] Episode   46 | Reward:   133.08 | Makespan:   1.39 | LoadBalance: 1.020 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:35] Episode   47 | Reward:   151.30 | Makespan:   1.60 | LoadBalance: 0.954 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:36] Episode   48 | Reward:   188.88 | Makespan:   0.94 | LoadBalance: 1.040 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:36] Episode   49 | Reward:   131.71 | Makespan:   1.31 | LoadBalance: 1.003 | Success: 1.00 | Duration: 0.36s
[2025-07-25 19:23:37] Episode   50 | Reward:   147.33 | Makespan:   1.37 | LoadBalance: 1.017 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:37] Episode   51 | Reward:   179.92 | Makespan:   1.82 | LoadBalance: 1.059 | Success: 1.00 | Duration: 0.41s
[2025-07-25 19:23:38] Episode   52 | Reward:   179.14 | Makespan:   0.81 | LoadBalance: 1.024 | Success: 1.00 | Duration: 0.66s
[2025-07-25 19:23:38] Episode   53 | Reward:   194.95 | Makespan:   1.49 | LoadBalance: 1.023 | Success: 1.00 | Duration: 0.46s
[2025-07-25 19:23:39] Episode   54 | Reward:   134.26 | Makespan:   1.42 | LoadBalance: 1.016 | Success: 1.00 | Duration: 0.37s
[2025-07-25 19:23:39] Episode   55 | Reward:   187.92 | Makespan:   1.62 | LoadBalance: 0.986 | Success: 1.00 | Duration: 0.44s
[2025-07-25 19:23:39] Episode   56 | Reward:   182.06 | Makespan:   1.47 | LoadBalance: 1.054 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:40] Episode   57 | Reward:   137.07 | Makespan:   1.04 | LoadBalance: 1.013 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:40] Episode   58 | Reward:   176.80 | Makespan:   1.38 | LoadBalance: 1.028 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:41] Episode   59 | Reward:   163.05 | Makespan:   1.34 | LoadBalance: 0.990 | Success: 1.00 | Duration: 0.39s
