episode,reward,makespan,load_balance
1,50.0,2.590548541445582,0.5164353464709535
2,50.0,2.363974032497632,0.5141205999601658
3,50.0,1.9126248560311976,0.46420248917825246
4,50.0,2.315310411642225,0.5038154589904394
5,50.0,2.2935649044398323,0.4967533496367239
6,50.0,2.5865732769160963,0.48880527348957975
7,50.0,2.752222444261297,0.5063739862604272
8,50.0,1.2025767418488065,0.5065168523186395
9,50.0,2.4682411454604902,0.522702186882617
10,50.0,1.417464802671757,0.4832508875943823
11,50.0,1.8160783436684842,0.5234586797228509
12,50.0,2.0427362860690708,0.5147272933366908
13,50.0,2.4077623493021107,0.4852856044871861
14,50.0,2.4128802548633175,0.47265774711741154
15,50.0,2.3580393136611635,0.4739276443238853
16,50.0,2.8310100428208513,0.4520853433277468
17,50.0,1.357887742028361,0.45729154859919185
18,50.0,1.9151684199311547,0.4928031651435864
19,50.0,1.575020026896415,0.45914464615677514
20,50.0,2.07580415983937,0.46927122087920187
21,50.0,2.2207077636543615,0.4564567938219704
22,50.0,2.7688169802795946,0.5508167312235076
23,50.0,1.9239638179359215,0.5305713837135138
24,50.0,2.2209242921923296,0.45970447428662337
25,50.0,2.035579774232963,0.49281224796335465
26,50.0,2.4825841662935106,0.4907987405191593
27,50.0,2.4247226198386693,0.5022098554369874
28,50.0,2.4651809731823824,0.49986410222218086
29,50.0,2.05201207809359,0.5040410930541787
30,50.0,2.731771677868277,0.47805839578161313
31,50.0,1.5445496709942894,0.47813320454868935
32,50.0,2.4108848462667494,0.5017753121326318
33,50.0,2.1963160089235947,0.46026725854766665
34,50.0,2.247205987746441,0.4809183443260415
35,50.0,3.0091818472890344,0.5042396279210244
36,50.0,2.3998113341787133,0.5075083209588054
37,50.0,2.8552138234184588,0.5017130039528049
38,50.0,2.1461448331646285,0.5004529376572584
39,50.0,1.8806614800596342,0.48392340213311397
40,50.0,2.3041772445728865,0.48481054308239885
41,50.0,2.183300415850092,0.4525860773726708
42,50.0,1.8871550176998757,0.49421003473564457
43,50.0,2.0422114616770273,0.5323069667494131
44,50.0,2.110018437424263,0.4822185533916139
45,50.0,2.1341497400190454,0.5749080923155188
46,50.0,1.7245775033969093,0.4465058057431575
47,50.0,3.332813146631147,0.5377485000502655
48,50.0,1.8887811645838064,0.5435322687037976
49,50.0,1.981500717902814,0.483560897775772
50,50.0,2.346630151722523,0.5313969510977766
