episode,reward,makespan,load_balance
1,1.0204323110908895,inf,0.48782560282716153
2,-489.7827047516878,inf,0.5325558667879743
3,107.59679310099668,2.0148116723656195,0.5478760390537435
4,123.09337093275182,2.541298210691773,0.5199643470821712
5,-88.80728124071746,inf,0.5545190874637177
6,122.09272888966177,2.984698372935697,0.514837612491813
7,-398.6513420334511,inf,0.4889283020682484
8,-90.92748092547424,inf,0.5178419781339135
9,-26.21633600852077,inf,0.4739937906965033
10,14.423085353639461,inf,0.5071020205427352
