episode,reward,makespan,load_balance,stability
1,1023.9433634766833,6.936157914506478,0.8,1.0
2,705.5231436508042,6.808217155901243,0.8,1.0
3,897.3535899151005,6.354300866110808,0.8,1.0
4,1068.4430679267823,5.540055853124517,0.8,1.0
5,1158.0666493273227,7.390808058847483,0.8,0.7178329316799615
6,961.7942604360658,6.098655502883055,0.8,0.7335115820833665
7,1207.8291676913502,6.178264992783003,0.8,0.7542509088177207
8,1168.6217890057947,5.218822559822897,0.8,0.6863624561405832
9,978.0244460656861,4.926067845628092,0.8,0.6300928448610955
10,1112.146931838022,4.44637925727983,0.8,0.5688290339960317
11,1179.625874652297,6.717599557224764,0.8,0.5477717781164827
12,1029.4018392682146,5.9120222105535145,0.8,0.5509088773796037
13,1115.2072341167443,6.188769944454181,0.8,0.6607118594713355
14,1038.1296156673845,4.9727861163188205,0.8,0.6480887370087923
15,1099.0975888673863,7.003829622381194,0.8,0.5737017398698186
16,1046.1358778329895,4.849190611693933,0.8,0.5555538288800549
17,1192.6265259579393,4.625888475967949,0.8,0.5369218284067626
18,1097.58606570332,4.510936726115271,0.8,0.5421599378028206
19,1136.7692042499816,7.340709598652887,0.8,0.4851055213703846
20,1125.8632936235122,7.304270201994114,0.8,0.4244962734132054
21,763.2930949448013,6.145481170931191,0.8,0.42512178739926676
22,781.9639289000573,6.929663811008976,0.8,0.42647143556118816
23,988.6183853909035,4.956595705018626,0.8,0.42828673329077693
24,1062.7320675921674,6.995432273551386,0.8,0.43272886947745837
25,962.0785849655842,4.7473350694482335,0.8,0.4409679480910063
26,913.2978786636149,6.988122560963037,0.8,0.5142141635548613
27,1265.7242590959697,5.657285138821729,0.8,0.5348471209342253
28,1060.1335778730836,4.032439577724984,0.8,0.4651184394391272
29,1005.6876600512278,8.863604065295187,0.8,0.313637773819059
30,867.4107037735396,5.940873532665867,0.8,0.32240541627924024
31,1210.361696837984,3.457651860548232,0.8,0.26688416502683826
32,1060.1546570207315,7.178116298493546,0.8,0.26291044153918
33,1114.6705774043353,4.2966357306054155,0.8,0.253103170096431
34,1116.421316305886,3.875519198780297,0.8,0.24464772669092993
35,1283.9625531391841,5.141771270457245,0.8,0.24479423695331728
36,805.4054884778419,6.898583350565032,0.8,0.24748341347888742
37,1053.0404213317393,5.4591467098171025,0.8,0.38147686007202547
38,1256.9320439268001,4.924574976747831,0.8,0.3896034055720518
39,907.5586220642069,4.246117402238974,0.8,0.4347201036086099
40,1261.6611872563801,4.743588412638858,0.8,0.5628627772129149
41,1006.4920942001742,6.19482210552748,0.8,0.53719982969093
42,933.7743664660604,6.45936170201415,0.8,0.5728975859665514
43,1042.88220086994,6.697342949444464,0.8,0.5354574261222543
44,955.9179054923866,3.182197847335358,0.8,0.44104713044326915
45,1007.9700563174256,6.976288982989153,0.8,0.38420009482762035
46,1024.2276525676855,4.690379257548377,0.8,0.3790338912581898
