[2025-07-25 12:23:03] Episode   50 | Reward:   728.72 | Makespan:   2.28 | LoadBalance: 0.479 | Duration: 1.21s
[2025-07-25 12:23:08] Episode   51 | Reward:   713.74 | Makespan:   2.35 | LoadBalance: 0.499 | Duration: 1.19s
[2025-07-25 12:23:09] Episode   52 | Reward:   686.60 | Makespan:   2.23 | LoadBalance: 0.499 | Duration: 1.13s
[2025-07-25 12:23:15] Episode   53 | Reward:   792.17 | Makespan:   2.06 | LoadBalance: 0.551 | Duration: 1.22s
[2025-07-25 12:23:16] Episode   54 | Reward:   611.79 | Makespan:   1.67 | LoadBalance: 0.434 | Duration: 1.08s
[2025-07-25 12:23:22] Episode   55 | Reward:   737.17 | Makespan:   1.99 | LoadBalance: 0.490 | Duration: 1.69s
[2025-07-25 12:23:23] Episode   56 | Reward:   702.58 | Makespan:   2.45 | LoadBalance: 0.443 | Duration: 1.18s
[2025-07-25 12:23:30] Episode   57 | Reward:   643.25 | Makespan:   2.70 | LoadBalance: 0.478 | Duration: 1.52s
[2025-07-25 12:23:31] Episode   58 | Reward:   695.16 | Makespan:   2.07 | LoadBalance: 0.456 | Duration: 1.54s
[2025-07-25 12:23:38] Episode   59 | Reward:   647.87 | Makespan:   1.99 | LoadBalance: 0.486 | Duration: 1.40s
[2025-07-25 12:23:39] Episode   60 | Reward:   635.02 | Makespan:   2.03 | LoadBalance: 0.476 | Duration: 1.30s
[2025-07-25 12:23:47] Episode   61 | Reward:   723.87 | Makespan:   2.30 | LoadBalance: 0.469 | Duration: 1.59s
[2025-07-25 12:23:48] Episode   62 | Reward:   702.55 | Makespan:   2.47 | LoadBalance: 0.466 | Duration: 1.52s
[2025-07-25 12:23:54] Episode   63 | Reward:   620.44 | Makespan:   1.85 | LoadBalance: 0.455 | Duration: 1.26s
[2025-07-25 12:23:56] Episode   64 | Reward:   718.79 | Makespan:   2.19 | LoadBalance: 0.498 | Duration: 1.51s
[2025-07-25 12:24:03] Episode   65 | Reward:   678.23 | Makespan:   1.88 | LoadBalance: 0.472 | Duration: 1.47s
[2025-07-25 12:24:04] Episode   66 | Reward:   712.56 | Makespan:   1.71 | LoadBalance: 0.489 | Duration: 1.14s
[2025-07-25 12:24:10] Episode   67 | Reward:   645.36 | Makespan:   1.89 | LoadBalance: 0.497 | Duration: 1.06s
[2025-07-25 12:24:11] Episode   68 | Reward:   712.86 | Makespan:   1.87 | LoadBalance: 0.492 | Duration: 1.12s
[2025-07-25 12:24:16] Episode   69 | Reward:   626.98 | Makespan:   1.54 | LoadBalance: 0.432 | Duration: 1.04s
