episode,reward,makespan,load_balance
1,71.15327776606523,1.8267781251349622,1.0323700703309413
2,67.49643140023588,1.3112189837213328,0.9766227919197383
3,79.99749499358865,1.6205674377940313,1.020521347746968
4,72.55685507731995,1.5326969698611643,1.040246446455208
5,44.04237427377135,0.72027716089496,1.0157874190671459
6,62.965748217659325,2.4171518288670395,1.0176952448960748
7,70.75032847841672,1.240301997689689,1.008931942710334
8,64.72592738800077,1.221775781115836,1.0410439910590736
9,79.07382232098382,1.9660351560111329,1.0243971763701154
10,95.13852674573674,2.0004976462646282,1.0107748886811194
